key,0,1,2,3,4,5,6,7,8,9
#,BasePlate,TopBorder,BottomBorder,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,Name
int32,CharaCardBase,CharaCardHeader,CharaCardHeader,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,uint16,str
0,"なし","なし","なし","なし","なし","なし","なし","なし",0,"カスタム"
1,"無地：ブラック","半透明：ブラック","なし","陰影","光沢","なし","なし","なし",1,"ベーシック"
2,"無地：ホワイト","グラデーション：パープル","グラデーション：パープル","陰影","四角形","なし","なし","なし",2,"シンプルモダン"
3,"半透明","半透明：ダークブルー","半透明：ダークブルー","塗料","なし","なし","なし","なし",3,"スタイリッシュ"
4,"無地：パープル","グラデーション：パープル","グラデーション：パープル","水玉","水玉","なし","なし","なし",4,"ポップ"
5,"グラデーション：TANK","なし","半透明：ブラック","陰影","隅飾り","ロールバナー：TANK","なし","なし",5,"ロール：TANK"
6,"グラデーション：DPS","なし","半透明：ブラック","陰影","隅飾り","ロールバナー：DPS","なし","なし",7,"ロール：DPS"
7,"グラデーション：HEALER","なし","半透明：ブラック","陰影","隅飾り","ロールバナー：HEALER","なし","なし",6,"ロール：HEALER"
8,"グラデーション：DPS","スピア","スピア","書物","菱形","シンプルフレーム：ソリッド","リムサ・ロミンサ","羽ペン",8,"リムサ・ロミンサ"
9,"無地：ベージュ","ウッドボード","ウッドボード","書物","菱形","シンプルフレーム：ソリッド","グリダニア","羽ペン",9,"グリダニア"
10,"半透明","アイボリー","アイボリー","書物","菱形","シンプルフレーム：ソリッド","ウルダハ","羽ペン",10,"ウルダハ"
11,"無地：アイボリー","ウッドパターン","ウッドパターン","金属看板","羊皮紙","シンプルフレーム：ソリッド","メタル","メモ",11,"エクスプローラー"
12,"無地：アイボリー","スクロール","スクロール","手帳","羊皮紙","スクラップ","メタル","地図",12,"アドベンチャラー"
13,"絶バハムート討滅戦","絶バハムート討滅戦","なし","絶バハムート討滅戦","なし","絶バハムート討滅戦","絶バハムート討滅戦","絶バハムート討滅戦",2500,"絶バハムート討滅戦"
14,"絶アルテマウェポン破壊作戦","絶アルテマウェポン破壊作戦","なし","絶アルテマウェポン破壊作戦","なし","絶アルテマウェポン破壊作戦","絶アルテマウェポン破壊作戦","絶アルテマウェポン破壊作戦",2501,"絶アルテマウェポン破壊作戦"
15,"絶アレキサンダー討滅戦","絶アレキサンダー討滅戦","なし","絶アレキサンダー討滅戦","なし","絶アレキサンダー討滅戦","絶アレキサンダー討滅戦","絶アレキサンダー討滅戦",2502,"絶アレキサンダー討滅戦"
16,"絶竜詩戦争","絶竜詩戦争","なし","絶竜詩戦争","なし","絶竜詩戦争","絶竜詩戦争","絶竜詩戦争",2503,"絶竜詩戦争"
17,"無地：ホワイト","なし","なし","なし","ヴァリアントダンジョン：シラディハ水道","ヴァリアントダンジョン：シラディハ水道","なし","なし",2400,"ヴァリアントダンジョン：シラディハ水道"
18,"友好部族クエスト：オミクロン族","友好部族クエスト：オミクロン族","友好部族クエスト：オミクロン族","なし","なし","なし","なし","友好部族クエスト：オミクロン族",2315,"友好部族クエスト：オミクロン族"
19,"幾何学模様：サークル","なし","なし","なし","なし","なし","ジグザグ","なし",13,"幾何学模様：サークル"
20,"コーヒーブレイク","なし","なし","なし","カフェ","なし","なし","カフェ",14,"カフェ"
21,"ミュージック","ミュージック","ミュージック","なし","なし","なし","なし","ヴァイオリン",15,"ミュージック"
22,"友好部族クエスト：ピクシー族","友好部族クエスト：ピクシー族","友好部族クエスト：ピクシー族","なし","なし","なし","なし","友好部族クエスト：ピクシー族",2311,"友好部族クエスト：ピクシー族"
23,"友好部族クエスト：キタリ族","友好部族クエスト：キタリ族","友好部族クエスト：キタリ族","なし","なし","なし","なし","友好部族クエスト：キタリ族",2312,"友好部族クエスト：キタリ族"
24,"友好部族クエスト：ドワーフ族","友好部族クエスト：ドワーフ族","友好部族クエスト：ドワーフ族","なし","なし","なし","なし","友好部族クエスト：ドワーフ族",2313,"友好部族クエスト：ドワーフ族"
25,"友好部族クエスト：アルカソーダラ族","友好部族クエスト：アルカソーダラ族","友好部族クエスト：アルカソーダラ族","なし","なし","なし","なし","友好部族クエスト：アルカソーダラ族",2314,"友好部族クエスト：アルカソーダラ族"
26,"友好部族クエスト：レポリット族","友好部族クエスト：レポリット族","友好部族クエスト：レポリット族","なし","なし","なし","なし","友好部族クエスト：レポリット族",2316,"友好部族クエスト：レポリット族"
27,"絶オメガ検証戦","絶オメガ検証戦","なし","絶オメガ検証戦","なし","絶オメガ検証戦","絶オメガ検証戦","絶オメガ検証戦",2504,"絶オメガ検証戦"
28,"ディープダンジョン：オルト・エウレカ1","なし","なし","なし","なし","ディープダンジョン：オルト・エウレカ1","なし","なし",2354,"ディープダンジョン：オルト・エウレカ1"
29,"ディープダンジョン：オルト・エウレカ2","なし","なし","なし","なし","ディープダンジョン：オルト・エウレカ2","なし","なし",2355,"ディープダンジョン：オルト・エウレカ2"
30,"クロニクルクエスト：四聖獣奇譚","なし","なし","なし","なし","なし","クロニクルクエスト：四聖獣奇譚","なし",2251,"クロニクルクエスト：四聖獣奇譚"
31,"無人島開拓1","なし","なし","なし","なし","なし","無人島開拓1","無人島開拓1",2340,"無人島開拓1"
32,"無人島開拓2","なし","なし","なし","なし","なし","無人島開拓2","無人島開拓2",2341,"無人島開拓2"
33,"友好部族クエスト：コウジン族","友好部族クエスト：コウジン族","友好部族クエスト：コウジン族","なし","なし","なし","なし","友好部族クエスト：コウジン族",2308,"友好部族クエスト：コウジン族"
34,"友好部族クエスト：アナンタ族","友好部族クエスト：アナンタ族","友好部族クエスト：アナンタ族","なし","なし","なし","なし","友好部族クエスト：アナンタ族",2309,"友好部族クエスト：アナンタ族"
35,"友好部族クエスト：ナマズオ族","友好部族クエスト：ナマズオ族","友好部族クエスト：ナマズオ族","なし","なし","なし","なし","友好部族クエスト：ナマズオ族",2310,"友好部族クエスト：ナマズオ族"
36,"時代の終焉","なし","なし","時代の終焉","なし","時代の終焉","時代の終焉","時代の終焉",2250,"時代の終焉"
37,"10周年記念","10周年記念","なし","なし","なし","なし","10周年記念","10周年記念",3950,"10周年記念"
38,"無地：ホワイト","なし","なし","なし","ヴァリアントダンジョン：六根山","ヴァリアントダンジョン：六根山","なし","なし",2401,"ヴァリアントダンジョン：六根山"
39,"世界を釣る者","世界を釣る者","なし","世界を釣る者","なし","世界を釣る者","世界を釣る者","世界を釣る者",2342,"世界を釣る者"
40,"太公望への道","太公望への道","なし","太公望への道","なし","太公望への道","太公望への道","太公望への道",2343,"太公望への道"
41,"月下の雀士","月下の雀士","月下の雀士","月下の雀士","なし","なし","月下の雀士","月下の雀士",2350,"月下の雀士"
42,"友好部族クエスト：バヌバヌ族","友好部族クエスト：バヌバヌ族","友好部族クエスト：バヌバヌ族","なし","なし","なし","なし","友好部族クエスト：バヌバヌ族",2305,"友好部族クエスト：バヌバヌ族"
43,"友好部族クエスト：グナース族","友好部族クエスト：グナース族","友好部族クエスト：グナース族","なし","なし","なし","なし","友好部族クエスト：グナース族",2306,"友好部族クエスト：グナース族"
44,"友好部族クエスト：モーグリ族","友好部族クエスト：モーグリ族","友好部族クエスト：モーグリ族","なし","なし","なし","なし","友好部族クエスト：モーグリ族",2307,"友好部族クエスト：モーグリ族"
