key,0,1,2,3,4
#,Emote,UnlockCondition,,,SortKey
int32,Emote,BannerCondition,uint16,uint16,byte
0,"","BannerCondition#1",0,0,1
1,"表情：素顔","BannerCondition#1",0,0,2
2,"表情：微笑","BannerCondition#1",0,0,3
3,"表情：笑顔","BannerCondition#1",0,0,4
4,"表情：自信","BannerCondition#1",0,0,7
5,"表情：不敵","BannerCondition#1",0,0,8
6,"表情：瞑目","BannerCondition#1",0,0,9
7,"表情：泣き顔","BannerCondition#1",0,0,10
8,"表情：恐怖","BannerCondition#1",0,0,11
9,"表情：呆然","BannerCondition#1",0,0,12
10,"表情：激痛","BannerCondition#1",0,0,13
11,"表情：不機嫌","BannerCondition#1",0,0,14
12,"表情：感知","BannerCondition#1",0,0,15
13,"表情：心配","BannerCondition#1",0,0,16
14,"表情：破顔","BannerCondition#2",0,0,23
15,"表情：熟考","BannerCondition#3",0,0,24
16,"表情：眉をひそめる","BannerCondition#1",0,0,25
17,"表情：苦笑い","BannerCondition#1",0,0,26
18,"表情：ウィンク右","BannerCondition#1",0,0,5
19,"表情：悪だくみ","BannerCondition#1",0,0,17
20,"表情：口をすぼめる","BannerCondition#1",0,0,18
21,"表情：真剣","BannerCondition#1",0,0,19
22,"表情：困惑","BannerCondition#1",0,0,20
23,"表情：柔和","BannerCondition#1",0,0,21
24,"表情：満足","BannerCondition#1",0,0,22
25,"表情：空想","BannerCondition#4",0,0,27
26,"表情：ウィンク左","BannerCondition#1",0,0,6
27,"表情：忍耐","BannerCondition#5",0,0,28
28,"表情：作り笑い","BannerCondition#1",0,0,29
